text,source,risk,sap_id
Draft board narrative—confidential until approved.,business_real,med,business-117
Internal planning: consolidation of region APAC under one lead.,business_real,med,business-118
Project Beta: resource conflict with Alpha; PM to resolve.,business_real,med,business-119
Confidential draft: FY goals and OKRs for leadership review.,business_real,med,business-120
Internal update: customer reference program; 3 case studies in progress.,business_real,med,business-121
Payroll run for period 03: total gross 847K; net 612K after deductions.,business_real,high,business-122
"Invoice #INV-2024-8821: amount 45,200 USD; wire to account 021000021, routing 123456789.",business_real,high,business-123
"Customer record: Jane Doe, SSN 555-12-3456, DOB 03/15/1985, address on file.",business_real,high,business-124
SAP-8847291032 | PO 9928473 approved; vendor ACH details attached.,business_real,high,business-125
"Confidential: employee John Smith, salary 125K, bonus 15%, equity grant 5K RSUs.",business_real,high,business-126
"Wire instructions: beneficiary Acme Corp, IBAN DE89370400440532013000, ref INV-7721.",business_real,high,business-127
HR: performance review and compensation data for Q1—confidential.,business_real,high,business-128
"Bank account for disbursements: ********4521, routing 021000021, Chase.",business_real,high,business-129
"Customer PII on file: name, email, phone, last 4 of card; do not share externally.",business_real,high,business-130
"SAP-5529103847 | Payment 28,400 EUR to vendor; confirmation required.",business_real,high,business-131
Payroll: direct deposit details for 47 employees; ACH file generated.,business_real,high,business-132
"Invoice details: P.O. 8821, amount 12,500, due 30 days; account # on file.",business_real,high,business-133
Confidential HR: termination checklist and final pay for employee ID 8821.,business_real,high,business-134
Customer account 77482: balance 45.2K; SSN and routing on file for ACH.,business_real,high,business-135
Vendor payment: wire 89K to IBAN GB82WEST12345698765432; ref PO-9921.,business_real,high,business-136
SAP-9928473610 | Confidential finance: EBITDA adjustment and one-time items.,business_real,high,business-137
"Employee data: Maria L., employee ID 4421, salary band 4, start date 01/2022.",business_real,high,business-138
Invoice #7721: line items and pricing—customer NDA; do not forward.,business_real,high,business-139
"Bank routing 021000021, account ****4521; use for wire only with dual approval.",business_real,high,business-140
"Payroll export: names, SSN (last 4), gross, net, deductions—restricted.",business_real,high,business-141
"Customer record: Acme Inc, EIN 12-3456789, payment terms Net 45, credit limit 100K.",business_real,high,business-142
SAP-3382910475 | Wire 156K to beneficiary; routing and account in secure doc.,business_real,high,business-143
HR confidential: promotion and salary increase for employee 5521; effective 04/01.,business_real,high,business-144
"Invoice backup: P.O. 4421, vendor tax ID, bank details for ACH.",business_real,high,business-145
"Customer PII: name, address, phone, SSN (for verification)—restricted access.",business_real,high,business-146
Payroll run 04: 52 employees; total net 398K; direct deposit file ready.,business_real,high,business-147
"Wire: 67,200 USD to account ending 4521, routing 021000021, ref INV-8821.",business_real,high,business-148
SAP-7748291032 | Confidential: draft financials and management adjustments.,business_real,high,business-149
HR: medical leave and disability claim details for employee—confidential.,business_real,high,business-150
"Vendor ACH: account ********1234, routing 021000021; one-time payment 22K.",business_real,high,business-151
"Customer credit application: SSN, DOB, income—store in secure system only.",business_real,high,business-152
"Invoice 5521: amount 33,500; payment to IBAN on file; do not email full details.",business_real,high,business-153
